Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,,,,,,,,,,
DGKH,13.82352941,15,1.085106383,0.117836492,0.035472318,0.691568529,,,,,,,,
LCORL,11.05555556,12,1.085427136,0.118262883,0.035600675,0.697035504,,,,,,,,
ARHGAP32,43.75757576,47.5,1.085526316,0.118394702,0.035640356,0.698970002,,,,,,,,
AHI1,24.85714286,27,1.086206897,0.11929893,0.035912556,0.701339966,,,,,,,,
ZNF595,13.80857143,15,1.086281812,0.119398429,0.035942508,0.70826008,,,,,,,,
PHYH,20.25,22,1.086419753,0.119581617,0.035997653,0.710332657,,,,,,,,
CROCC,21.16666667,23,1.086614173,0.119839771,0.036075365,0.714340503,,,,,,,,
GALNT3,14.71666667,16,1.087202718,0.120620969,0.036310529,0.716665931,,,,,,,,
CDK18,17.475,19,1.087267525,0.120706964,0.036336417,0.719274354,,,,,,,,
ASTN1,7.357692308,8,1.087297438,0.120746656,0.036348365,0.723027861,,,,,,,,
TMX2,154.4722222,168,1.087574177,0.121113804,0.036458887,0.730487055,,,,,,,,
HLA-DPA1,0.643478261,0.7,1.087837836,0.121463512,0.03656416,0.731970263,,,,,,,,
MAN1B1,39.52777778,43,1.087842586,0.121469811,0.036566056,0.741040295,,,,,,,,
CREBBP,36.53030303,39.75,1.088137702,0.12186114,0.036683858,0.744014952,,,,,,,,
HADHA,160.7777778,175,1.08845888,0.122286908,0.036812027,0.746149081,,,,,,,,
PGM1,50.52777778,55,1.08851017,0.122354889,0.036832491,0.747086881,,,,,,,,
SNIP1,26.63888889,29,1.088633994,0.122518993,0.036881891,0.748188024,,,,,,,,
FGGY,2.755555556,3,1.088709677,0.122619287,0.036912083,0.751891176,,,,,,,,
IL15RA,2.755172414,3,1.088861076,0.122819899,0.036972473,0.758704942,,,,,,,,
RABEP1,67.94444444,74,1.089125102,0.12316968,0.037077768,0.768200706,,,,,,,,
MS4A6E,0.1375,0.15,1.090909083,0.125530873,0.037788558,0.779224908,,,,,,,,
DDX55,46.75,51,1.090909091,0.125530883,0.037788561,0.797301604,,,,,,,,
SIK1,0.961904762,1.05,1.091584157,0.126423363,0.038057224,0.800427644,,,,,,,,
SLC25A4,44.86111111,49,1.092260062,0.127316397,0.038326054,0.806117714,,,,,,,,
GEMIN4,38.44444444,42,1.092485549,0.127614198,0.038415701,0.808076714,,,,,,,,
IGF2R,55.81818182,61,1.092833876,0.128074112,0.038554149,0.818715322,,,,,,,,
RREB1,7.86875,8.6,1.092930897,0.128202188,0.038592704,0.821502671,,,,,,,,
SETX,42.97142857,47,1.09375,0.129283018,0.038918066,0.831179778,,,,,,,,
PHF20L1,19.19444444,21,1.09406657,0.129700525,0.039043748,0.833863111,,,,,,,,
CSAD,18.27777778,20,1.094224924,0.129909324,0.039106603,0.840299157,,,,,,,,
ZFHX4,9.560869565,10.46666667,1.094740033,0.130588317,0.039311,0.841156599,,,,,,,,
CDHR5,2.602857143,2.85,1.094950603,0.130865788,0.039394527,0.843562429,,,,,,,,
NRDE2,7.305555556,8,1.095057034,0.131006013,0.039436739,0.844354385,,,,,,,,
EIF3C,3.46875,3.8,1.095495495,0.131583553,0.039610596,0.848732324,,,,,,,,
TAF9B,98.58333333,108,1.095519865,0.131615646,0.039620257,0.859821297,,,,,,,,
SLC26A6,12.77777778,14,1.095652174,0.131789874,0.039672705,0.870297474,,,,,,,,
MVB12A,24.63888889,27,1.095828636,0.132022211,0.039742645,0.880024681,,,,,,,,
UNC5D,1.825,2,1.09589041,0.132103537,0.039767127,0.88757782,,,,,,,,
EIF5A,422.2777778,463,1.09643468,0.132819867,0.039982764,0.89616769,,,,,,,,
LRRN2,12.35714286,13.55,1.096531792,0.132947642,0.040021228,0.918966749,,,,,,,,
SVOP,10.03,11,1.09670987,0.133181919,0.040091752,0.920818754,,,,,,,,
MPV17L2,37.36111111,41,1.097397769,0.13408655,0.040364073,0.924809236,,,,,,,,
ZNF646,21.86111111,24,1.097839898,0.134667678,0.04053901,0.961081933,,,,,,,,
NARS2,64.63888889,71,1.09840997,0.135416627,0.040764466,0.968285586,,,,,,,,
WDR4,50.97142857,56,1.098654708,0.13573804,0.040861221,0.979216394,,,,,,,,
GALNT12,14.55714286,16,1.099116781,0.136344682,0.041043839,0.986211713,,,,,,,,
C4orf19,6.366666667,7,1.09947644,0.136816691,0.041185927,1.041514524,,,,,,,,
OR51B6,0.5,0.55,1.099999998,0.137503522,0.041392684,1.051587034,,,,,,,,
POR,49.54285714,54.5,1.10005767,0.13757916,0.041415453,1.088215929,,,,,,,,
KPNA6,70.29411765,77.33333333,1.10013947,0.137686434,0.041447746,1.089905109,,,,,,,,
GGT7,67.25,74,1.100371747,0.137991004,0.041539431,1.095718532,,,,,,,,
NSRP1,43.61111111,48,1.100636943,0.13833866,0.041644086,1.14389228,,,,,,,,
RAI14,59.96111111,66,1.100713425,0.138438908,0.041674264,1.156843631,,,,,,,,
TMEM135,20.88888889,23,1.10106383,0.138898107,0.041812496,1.179607833,,,,,,,,
FAM189B,47.22222222,52,1.101176471,0.13904569,0.041856923,1.261899266,,,,,,,,
ABHD12B,0.272413793,0.3,1.101265819,0.139162744,0.04189216,1.262571743,,,,,,,,
DDHD1,17.25,19,1.101449275,0.139403058,0.041964502,1.289821774,,,,,,,,
CKAP5,252.0294118,277.6666667,1.101723266,0.13976189,0.042072521,1.294955846,,,,,,,,
CRYBA4,0.726086957,0.8,1.101796406,0.139857663,0.042101351,1.320774053,,,,,,,,
PHF21A,27.22222222,30,1.102040816,0.140177659,0.04219768,1.414973344,,,,,,,,
GTPBP8,18.13888889,20,1.102603369,0.140913916,0.042419315,1.425461082,,,,,,,,
C6orf89,77.05555556,85,1.103100216,0.141563867,0.04261497,1.439757016,,,,,,,,
MCM3AP,56.65714286,62.5,1.103126576,0.141598341,0.042625347,1.448137827,,,,,,,,
ATP7A,9.514285714,10.5,1.103603603,0.142222074,0.04281311,1.474774226,,,,,,,,
FANCF,40.77142857,45,1.103714085,0.142366495,0.042856585,1.482301767,,,,,,,,
RFX1,11.77777778,13,1.103773585,0.142444266,0.042879996,1.518026242,,,,,,,,
GTF2H3,49.82857143,55,1.103784404,0.142458407,0.042884253,1.522993017,,,,,,,,
PLBD2,42.11428571,46.5,1.104138399,0.14292102,0.043023514,1.578344522,,,,,,,,
RCC2,375.5833333,415,1.104947859,0.143978294,0.043341785,1.640978055,,,,,,,,
SFI1,16.74285714,18.5,1.104948805,0.143979529,0.043342157,1.676513938,,,,,,,,
TRMU,28.05555556,31,1.104950495,0.143981735,0.043342821,1.685599537,,,,,,,,
RFWD3,79.63888889,88,1.104987792,0.144030432,0.04335748,1.722730443,,,,,,,,
FBXL4,17.19444444,19,1.105008077,0.144056917,0.043365453,1.752743605,,,,,,,,
DHX38,58.5,64.66666667,1.105413105,0.144585623,0.043524609,1.816186948,,,,,,,,
ZNF208,0.76875,0.85,1.105691055,0.144948335,0.043633796,1.941771699,,,,,,,,
SLAIN1,35.26944444,39,1.105773017,0.145055274,0.043665988,1.971113711,,,,,,,,
AASS,16.27222222,18,1.106179583,0.145585621,0.043825638,1.976426979,,,,,,,,
TFRC,203.3888889,225,1.106255122,0.145684136,0.043855294,1.991146769,,,,,,,,
NCOA2,35.85294118,39.66666667,1.106371343,0.145835694,0.043900918,2.620419999,,,,,,,,
CHD5,19.88235294,22,1.106508876,0.146015025,0.043954902,,,,,,,,,
IMPDH1,69.94285714,77.5,1.108047386,0.148019581,0.044558333,,,,,,,,,
KDM4B,22.55555556,25,1.108374384,0.148445275,0.04468648,,,,,,,,,
PCDHB11,6.313888889,7,1.10866696,0.148826051,0.044801105,,,,,,,,,
DYNC2H1,7.514705882,8.333333333,1.108936725,0.14917705,0.044906766,,,,,,,,,
SPNS1,1.802777778,2,1.109399075,0.149778429,0.045087799,,,,,,,,,
EDRF1,26.13888889,29,1.109458023,0.149855085,0.045110875,,,,,,,,,
DDX3Y,43.23214286,48,1.110285006,0.15093006,0.045434475,,,,,,,,,
NAT10,77.41176471,86,1.110942249,0.151783823,0.045691483,,,,,,,,,
DGCR2,81.88888889,91,1.111261872,0.152198834,0.045816414,,,,,,,,,
MMD,36.88888889,41,1.111445783,0.152437576,0.045888282,,,,,,,,,
SYTL3,19.33714286,21.5,1.111849882,0.152962015,0.046046154,,,,,,,,,
PRIM2,21.58333333,24,1.111969112,0.153116715,0.046092724,,,,,,,,,
FKBP15,17.08333333,19,1.112195122,0.153409916,0.046180986,,,,,,,,,
SLC27A5,4.494444444,5,1.112484549,0.1537853,0.046293988,,,,,,,,,
PLXND1,49.87878788,55.5,1.112697448,0.154061367,0.046377092,,,,,,,,,
CDKN1B,177.9444444,198,1.112706837,0.15407354,0.046380757,,,,,,,,,
BEST2,0.359375,0.4,1.113043475,0.154509946,0.046512128,,,,,,,,,
MED29,92.52777778,103,1.113179225,0.154685891,0.046565093,,,,,,,,,
INTS1,100.6060606,112,1.113253012,0.154781516,0.046593879,,,,,,,,,
ZNF155,8.083333333,9,1.113402062,0.154974661,0.046652021,,,,,,,,,
SYNRG,27.83333333,31,1.113772455,0.15545452,0.046796473,,,,,,,,,
LRBA,44.87878788,50,1.114112086,0.155894385,0.046928886,,,,,,,,,
VGLL2,0.538461538,0.6,1.114285712,0.156119201,0.046996562,,,,,,,,,
MED23,27.37142857,30.5,1.114300626,0.15613851,0.047002375,,,,,,,,,
AKT2,48.85714286,54.5,1.115497076,0.157686733,0.047468436,,,,,,,,,
MBIP,60.94444444,68,1.115770283,0.158040034,0.04757479,,,,,,,,,
CUX1,29.57142857,33,1.115942029,0.158262085,0.047641634,,,,,,,,,
AGTPBP1,48.60606061,54.25,1.11611596,0.158486927,0.047709318,,,,,,,,,
AARS2,41.65714286,46.5,1.116255144,0.158666825,0.047763473,,,,,,,,,
CEP290,18.36363636,20.5,1.116336634,0.158772142,0.047795177,,,,,,,,,
SUPV3L1,31.34285714,35,1.11668186,0.159218225,0.047929461,,,,,,,,,
TRABD2A,0.895454545,1,1.116751268,0.159307894,0.047956454,,,,,,,,,
SORBS2,6.267741935,7,1.116829645,0.159409143,0.047986933,,,,,,,,,
FAM149B1,13.42857143,15,1.117021277,0.159656667,0.048061445,,,,,,,,,
ZNF205,17.45714286,19.5,1.117021277,0.159656667,0.048061445,,,,,,,,,
ANKRD20A1,0.178947368,0.2,1.117647053,0.160464665,0.048304677,,,,,,,,,
ISCU,42.91666667,48,1.118446602,0.161496381,0.048615254,,,,,,,,,
CCDC71L,19.66666667,22,1.118644068,0.161751071,0.048691924,,,,,,,,,
RAP1GDS1,38.41666667,43,1.119305857,0.162604316,0.048948776,,,,,,,,,
PLEKHD1,0.714705882,0.8,1.119341562,0.162650337,0.04896263,,,,,,,,,
CSNK1G1,16.97222222,19,1.119476268,0.162823946,0.049014891,,,,,,,,,
TPBGL,3.572727273,4,1.119592875,0.162974212,0.049060126,,,,,,,,,
RIMBP2,23.215625,26,1.119935388,0.163415504,0.049192968,,,,,,,,,
IP6K1,44.63888889,50,1.120099564,0.163626979,0.049256628,,,,,,,,,
SRF,71.41666667,80,1.120186698,0.163739203,0.049290411,,,,,,,,,
CDK13,13.38888889,15,1.12033195,0.163926262,0.049346722,,,,,,,,,
SECISBP2,40.16666667,45,1.12033195,0.163926262,0.049346722,,,,,,,,,
CFL1,381.0833333,427,1.120489832,0.164129558,0.04940792,,,,,,,,,
PRDM2,28.55882353,32,1.120494336,0.164135357,0.049409665,,,,,,,,,
STK11IP,20.82352941,23.33333333,1.120527307,0.164177809,0.049422445,,,,,,,,,
PLCXD2,8.030555556,9,1.120719474,0.164425205,0.049496918,,,,,,,,,
PITPNM1,34.77142857,39,1.121610518,0.165571784,0.049842073,,,,,,,,,
IPO7,179.1944444,201,1.12168656,0.165669592,0.049871516,,,,,,,,,
HEATR5B,31.2,35,1.121794872,0.165808894,0.04991345,,,,,,,,,
MFN1,59.63888889,67,1.123428039,0.167907717,0.050545259,,,,,,,,,
MAP3K6,15.12857143,17,1.123701605,0.168258985,0.050651001,,,,,,,,,
KIF3B,76.48571429,86,1.124392977,0.169146349,0.050918124,,,,,,,,,
MPST,16.00833333,18,1.124414367,0.169173795,0.050926386,,,,,,,,,
WIPF1,8.002777778,9,1.12460951,0.169424154,0.051001752,,,,,,,,,
ROBO4,0.133333333,0.15,1.124999992,0.169924992,0.051152519,,,,,,,,,
KRTAP10-8,0.177777778,0.2,1.124999994,0.169924995,0.05115252,,,,,,,,,
PARS2,12.44444444,14,1.125,0.169925003,0.051152522,,,,,,,,,
KEAP1,97.31428571,109.5,1.1252202,0.170207358,0.05123752,,,,,,,,,
PPP1R9B,57.76571429,65,1.125234939,0.170226256,0.051243209,,,,,,,,,
CDC42BPB,74.94117647,84.33333333,1.125327054,0.170344354,0.05127876,,,,,,,,,
NUP155,87.97222222,99,1.125355226,0.170380471,0.051289632,,,,,,,,,
MBOAT2,44.41666667,50,1.125703565,0.170826969,0.051424041,,,,,,,,,
CACNA1B,20,22.525,1.12625,0.171527107,0.051634804,,,,,,,,,
KMT2B,47.35294118,53.33333333,1.126293996,0.171583464,0.051651769,,,,,,,,,
JAG1,31.94444444,36,1.126956522,0.172431858,0.051907161,,,,,,,,,
UBR4,66.5483871,75,1.126999515,0.172486896,0.051923729,,,,,,,,,
ENDOV,11.52777778,13,1.127710843,0.173397195,0.052197756,,,,,,,,,
RB1CC1,53.2,60,1.127819549,0.173536256,0.052239618,,,,,,,,,
WSCD2,2.955,3.333333333,1.128031585,0.173807465,0.05232126,,,,,,,,,
DAP3,109.9166667,124,1.128127369,0.173929963,0.052358136,,,,,,,,,
TP53BP1,40.77142857,46,1.128241065,0.174075355,0.052401903,,,,,,,,,
SCAF11,46.08333333,52,1.128390597,0.17426655,0.052459458,,,,,,,,,
RGS3,16.82857143,19,1.129032258,0.175086708,0.05270635,,,,,,,,,
CTCF,43.34285714,49,1.130520765,0.176987492,0.053278544,,,,,,,,,
CABIN1,52.73529412,59.66666667,1.13143707,0.178156346,0.053630404,,,,,,,,,
DDX23,151.0555556,171,1.132033836,0.178917082,0.053859408,,,,,,,,,
TLN1,104.5294118,118.3333333,1.132057775,0.17894759,0.053868592,,,,,,,,,
ZNF507,25.61111111,29,1.132321041,0.179283057,0.053969578,,,,,,,,,
TRAPPC9,23.83333333,27,1.132867133,0.179978667,0.054178977,,,,,,,,,
SMCO4,49.40833333,56,1.133412042,0.180672438,0.054387823,,,,,,,,,
NRXN3,11.025,12.5,1.133786848,0.18114944,0.054531415,,,,,,,,,
PHF12,24.69444444,28,1.133858268,0.181240316,0.054558771,,,,,,,,,
DPY19L1,34.36111111,39,1.135004042,0.182697437,0.054997408,,,,,,,,,
TBP,47.57142857,54,1.135135135,0.182864058,0.055047566,,,,,,,,,
DLGAP3,23.84375,27.06666667,1.135168196,0.182906076,0.055060215,,,,,,,,,
VWA8,14.97142857,17,1.135496183,0.183322858,0.055185679,,,,,,,,,
GON4L,28.76470588,32.66666667,1.135650988,0.183519531,0.055244883,,,,,,,,,
MDGA1,13.03142857,14.8,1.135715852,0.183601929,0.055269687,,,,,,,,,
BRAF,11.44444444,13,1.13592233,0.183864194,0.055348637,,,,,,,,,
JAKMIP1,1.760606061,2,1.135972461,0.183927861,0.055367803,,,,,,,,,
PLRG1,50.16666667,57,1.136212625,0.184232839,0.05545961,,,,,,,,,
BLOC1S1,13.19444444,15,1.136842105,0.185031895,0.05570015,,,,,,,,,
THSD7A,10.77333333,12.25,1.137066832,0.185317053,0.055785991,,,,,,,,,
ULK2,18.46176471,21,1.13748606,0.185848867,0.055946083,,,,,,,,,
ZNF14,12.30555556,14,1.137697517,0.186117036,0.05602681,,,,,,,,,
VPS13D,15.23529412,17.33333333,1.137709138,0.186131772,0.056031246,,,,,,,,,
PNPLA3,10.54444444,12,1.138040042,0.186551321,0.056157543,,,,,,,,,
MAPKAPK5,19.61764706,22.33333333,1.138430785,0.187046581,0.056306631,,,,,,,,,
C1orf216,39.52777778,45,1.138439916,0.187058152,0.056310114,,,,,,,,,
SLITRK5,4.390909091,5,1.138716356,0.187408431,0.056415559,,,,,,,,,
ABCC11,0.219354839,0.25,1.139705877,0.188661559,0.056792788,,,,,,,,,
ADIPOR2,91.65714286,104.5,1.140118454,0.189183724,0.056949975,,,,,,,,,
SLC4A1AP,36.37142857,41.5,1.141005499,0.190305746,0.057287737,,,,,,,,,
MCF2L2,2.627777778,3,1.141649048,0.191119224,0.057532619,,,,,,,,,
INTS3,47.27777778,54,1.142185664,0.191797183,0.057736705,,,,,,,,,
ANO5,13.12647059,15,1.142729106,0.192483442,0.057943289,,,,,,,,,
MCRS1,87.47222222,100,1.14322007,0.19310315,0.05812984,,,,,,,,,
ZFR,120.2285714,137.5,1.143654943,0.193651837,0.058295011,,,,,,,,,
ATF4,542.8611111,621,1.143939006,0.194010132,0.058402869,,,,,,,,,
FSD2,0.131034483,0.15,1.144736833,0.195015973,0.058705657,,,,,,,,,
BIRC6,41.61764706,47.66666667,1.145347468,0.195785341,0.05893726,,,,,,,,,
PLAA,56.75,65,1.145374449,0.195819327,0.058947491,,,,,,,,,
WDR88,6.111111111,7,1.145454545,0.195920211,0.05897786,,,,,,,,,
SF3B2,139.6666667,160,1.145584726,0.196084163,0.059027214,,,,,,,,,
PRPF8,226.0555556,259,1.145736053,0.196274725,0.059084579,,,,,,,,,
AMER1,11.34571429,13,1.145807101,0.196364186,0.05911151,,,,,,,,,
PARD3,37.23529412,42.66666667,1.145866245,0.196438652,0.059133926,,,,,,,,,
DCAF15,55.83333333,64,1.146268657,0.196945217,0.059286417,,,,,,,,,
CAMK1,4.361111111,5,1.146496815,0.197232348,0.059372853,,,,,,,,,
CREB3L4,41.86111111,48,1.146648971,0.197423802,0.059430486,,,,,,,,,
ZNF148,24.41666667,28,1.146757679,0.19756057,0.059471657,,,,,,,,,
HIF1A,173.5142857,199,1.146879631,0.197713985,0.05951784,,,,,,,,,
NUP188,108.1111111,124,1.14696814,0.197825318,0.059551354,,,,,,,,,
TYK2,52.30555556,60,1.147105682,0.197998314,0.059603431,,,,,,,,,
MYO19,43.58333333,50,1.147227533,0.198151555,0.059649562,,,,,,,,,
C1QL4,12.20277778,14,1.147279763,0.198217235,0.059669333,,,,,,,,,
MAPKBP1,13.94285714,16,1.147540984,0.198545681,0.059768205,,,,,,,,,
PDE6D,33.11111111,38,1.147651007,0.198683996,0.059809842,,,,,,,,,
IQCC,21.77777778,25,1.147959184,0.199071348,0.059926447,,,,,,,,,
DMWD,29.61111111,34,1.148217636,0.199396121,0.060024213,,,,,,,,,
ACSS2,17.41666667,20,1.148325359,0.199531465,0.060064956,,,,,,,,,
WDR5,126.0588235,145,1.15025665,0.201955798,0.060794753,,,,,,,,,
MCM2,197.3055556,227,1.150499789,0.20226072,0.060886543,,,,,,,,,
AP5Z1,17.38235294,20,1.150592217,0.202376617,0.060921432,,,,,,,,,
KCTD21,6.083333333,7,1.150684931,0.202492865,0.060956426,,,,,,,,,
RAB11FIP3,48.22857143,55.5,1.150770142,0.202599696,0.060988585,,,,,,,,,
BPGM,39.97222222,46,1.150799166,0.202636082,0.060999539,,,,,,,,,
XDH,3.453571429,3.975,1.15098242,0.202865799,0.06106869,,,,,,,,,
ARL8A,71.22222222,82,1.151326053,0.203296461,0.061198332,,,,,,,,,
RIF1,45.73529412,52.66666667,1.151554126,0.203582225,0.061284356,,,,,,,,,
FARP2,17.36111111,20,1.152,0.204140718,0.061452479,,,,,,,,,
UBR1,20.83333333,24,1.152,0.204140718,0.061452479,,,,,,,,,
ARPC1A,50.33333333,58,1.152317881,0.204538758,0.061572301,,,,,,,,,
TDRKH,32.67647059,37.66666667,1.152715271,0.205036203,0.061722047,,,,,,,,,
TMEM54,52.90833333,61,1.15293747,0.205314272,0.061805754,,,,,,,,,
RNF111,24.71428571,28.5,1.153179191,0.20561671,0.061896797,,,,,,,,,
ECEL1,13.87419355,16,1.153220181,0.20566799,0.061912234,,,,,,,,,
MON1B,33.80555556,39,1.153656532,0.206213769,0.06207653,,,,,,,,,
EQTN,0.173333333,0.2,1.153846147,0.20645087,0.062147904,,,,,,,,,
DCAKD,57.19444444,66,1.153958232,0.206591007,0.06219009,,,,,,,,,
GATAD2A,60.58333333,70,1.155433287,0.208433965,0.062744875,,,,,,,,,
ALDH16A1,21.05882353,24.33333333,1.155493482,0.208509123,0.0627675,,,,,,,,,
RUSC2,22.48888889,26,1.156126482,0.209299241,0.063005349,,,,,,,,,
U2SURP,107.2,124,1.156716418,0.210035216,0.0632269,,,,,,,,,
MAP3K9,27.65714286,32,1.157024793,0.210419781,0.063342665,,,,,,,,,
PER1,11.23529412,13,1.157068063,0.210473732,0.063358906,,,,,,,,,
AQP8,0.259259259,0.3,1.157142853,0.210566982,0.063386977,,,,,,,,,
SFPQ,385.3428571,446,1.15741084,0.210901063,0.063487546,,,,,,,,,
SLC25A12,26.77142857,31,1.157950907,0.211574091,0.063690147,,,,,,,,,
MTG2,31.94117647,37,1.158379374,0.21210782,0.063850816,,,,,,,,,
TNK2,22.44444444,26,1.158415842,0.212153238,0.063864488,,,,,,,,,
ZNF850,9.057142857,10.5,1.159305994,0.213261411,0.064198081,,,,,,,,,
SMARCA5,93.91666667,109,1.160603372,0.214875027,0.064683828,,,,,,,,,
USP2,13.35428571,15.5,1.16067608,0.214965405,0.064711034,,,,,,,,,
SLC25A41,1.0625,1.233333333,1.160784313,0.215099929,0.06475153,,,,,,,,,
LRPPRC,123.1515152,143,1.16117126,0.215580771,0.064896278,,,,,,,,,
MEX3B,24.54285714,28.5,1.161233993,0.215658711,0.064919741,,,,,,,,,
IQGAP3,83.5,97,1.161676647,0.216208551,0.065085259,,,,,,,,,
CRISPLD1,10.60909091,12.33333333,1.162524993,0.217261734,0.065402298,,,,,,,,,
ZBED4,54.13888889,63,1.163673679,0.218686551,0.065831211,,,,,,,,,
MPP1,28.32222222,33,1.165162809,0.220531559,0.066386614,,,,,,,,,
HMBOX1,14.58333333,17,1.165714286,0.221214231,0.066592119,,,,,,,,,
BIRC7,0.6,0.7,1.166666665,0.22239242,0.066946789,,,,,,,,,
TBCK,8.142857143,9.5,1.166666667,0.222392422,0.06694679,,,,,,,,,
GART,103.6285714,121,1.167631651,0.223585225,0.067305859,,,,,,,,,
EXO1,70.2,82,1.168091168,0.22415288,0.06747674,,,,,,,,,
SNRNP200,243.0833333,284,1.16832362,0.224439951,0.067563157,,,,,,,,,
PPARGC1B,5.134285714,6,1.168614357,0.22479892,0.067671218,,,,,,,,,
GGN,1.711111111,2,1.168831168,0.225066556,0.067751784,,,,,,,,,
DOCK7,12.82352941,15,1.169724771,0.226169113,0.068083687,,,,,,,,,
PPP1R12B,10.68571429,12.5,1.169786096,0.226244748,0.068106455,,,,,,,,,
HOXB2,53.84,63,1.17013373,0.22667342,0.068235498,,,,,,,,,
KLK6,0.170833333,0.2,1.1707317,0.227410489,0.068457378,,,,,,,,,
ASNSD1,97.36111111,114,1.170898716,0.227616288,0.06851933,,,,,,,,,
TAP2,6.827777778,8,1.171684296,0.228583897,0.068810609,,,,,,,,,
CECR2,16.78181818,19.66666667,1.171903214,0.228853426,0.068891745,,,,,,,,,
SCAF1,75.94444444,89,1.17190929,0.228860906,0.068893997,,,,,,,,,
QRSL1,22.16666667,26,1.172932331,0.230119785,0.069272957,,,,,,,,,
TRIM44,77.55555556,91,1.173352436,0.230636417,0.069428479,,,,,,,,,
CHMP4C,43.43235294,51,1.174239859,0.231727136,0.069756818,,,,,,,,,
ADAMTS18,5.535483871,6.5,1.174242424,0.231730287,0.069757767,,,,,,,,,
PGRMC2,62.16666667,73,1.174262735,0.231755241,0.069765279,,,,,,,,,
SNX5,74.88571429,88,1.175123998,0.232812998,0.070083696,,,,,,,,,
HELQ,13.61111111,16,1.175510204,0.233287064,0.070226403,,,,,,,,,
ZNF227,21.25714286,25,1.176075269,0.233980397,0.070435117,,,,,,,,,
PBRM1,59.45714286,70,1.177318597,0.235504785,0.070894004,,,,,,,,,
SUCLG2,22.08333333,26,1.177358491,0.235553671,0.07090872,,,,,,,,,
CKS1B,126.4444444,149,1.178383128,0.236808681,0.071286516,,,,,,,,,
RPL21,365.7222222,431,1.17849005,0.236939579,0.07132592,,,,,,,,,
SIN3B,33.91666667,40,1.179361179,0.238005613,0.071646828,,,,,,,,,
TRABD,58.44444444,69,1.180608365,0.23953047,0.072105856,,,,,,,,,
ZDHHC18,29.63888889,35,1.180880975,0.239863559,0.072206126,,,,,,,,,
MGST3,27.08333333,32,1.181538461,0.240666594,0.072447863,,,,,,,,,
CERS2,100.6666667,119,1.182119205,0.241375526,0.072661273,,,,,,,,,
EXOC6B,15.22222222,18,1.182481752,0.241817921,0.072794447,,,,,,,,,
AGRN,55.24411765,65.33333333,1.182629683,0.241998394,0.072848775,,,,,,,,,
HPS5,24.94285714,29.5,1.182703322,0.242088224,0.072875817,,,,,,,,,
CSPG4,2.493939394,2.95,1.182867557,0.242288549,0.07293612,,,,,,,,,
MAK,3.634285714,4.3,1.1831761,0.242664817,0.073049388,,,,,,,,,
MFSD10,52.38888889,62,1.183457052,0.243007352,0.073152502,,,,,,,,,
BRPF1,30.41666667,36,1.183561644,0.24313485,0.073190882,,,,,,,,,
AP2B1,181.6,215,1.183920705,0.243572458,0.073322616,,,,,,,,,
ANKRD17,72.21212121,85.5,1.18401175,0.243683399,0.073356012,,,,,,,,,
PSMD1,148.6111111,176,1.184299065,0.244033445,0.073461387,,,,,,,,,
ATF6B,86.91428571,103,1.185075608,0.244979108,0.073746059,,,,,,,,,
POLD1,77.02941176,91.33333333,1.185694285,0.24573208,0.073972727,,,,,,,,,
DYNC1H1,88.97142857,105.5,1.185773924,0.245828978,0.074001896,,,,,,,,,
PSD3,33.70588235,40,1.186736475,0.246999609,0.074354291,,,,,,,,,
ZSWIM3,10.11111111,12,1.186813187,0.247092863,0.074382363,,,,,,,,,
CENPI,37.05555556,44,1.187406297,0.24781367,0.074599348,,,,,,,,,
TATDN1,20.19444444,24,1.188445667,0.249075949,0.074979332,,,,,,,,,
SRRM2,248.0857143,295,1.189105148,0.249876294,0.075220259,,,,,,,,,
CIT,39.94285714,47.5,1.189198855,0.249989981,0.075254483,,,,,,,,,
SPTLC1,43.72222222,52,1.189326557,0.250144895,0.075301116,,,,,,,,,
CEACAM6,9.247058824,11,1.18956743,0.250437054,0.075389065,,,,,,,,,
ZBTB17,32.77142857,39,1.190061029,0.251035561,0.075569233,,,,,,,,,
SENP5,43.69444444,52,1.190082645,0.251061765,0.075577122,,,,,,,,,
STON1,2.855882353,3.4,1.190525231,0.251598198,0.075738604,,,,,,,,,
METTL15,7.555555556,9,1.19117647,0.252387163,0.075976106,,,,,,,,,
CTDSPL2,37.77777778,45,1.191176471,0.252387163,0.075976106,,,,,,,,,
SKIV2L,52.88888889,63,1.191176471,0.252387163,0.075976106,,,,,,,,,
MSH6,82.25,98,1.191489362,0.252766072,0.076090169,,,,,,,,,
TMEM139,1.677777778,2,1.192052979,0.253448357,0.076295558,,,,,,,,,
CCZ1B,4.194444444,5,1.19205298,0.253448358,0.076295558,,,,,,,,,
ZNF318,35.47058824,42.33333333,1.193477059,0.255170837,0.076814075,,,,,,,,,
ADAMTS3,4.186206897,5,1.194398682,0.25628448,0.077149315,,,,,,,,,
ZNF358,30.13888889,36,1.194470046,0.256370677,0.077175263,,,,,,,,,
FRMPD3,5.232352941,6.25,1.194491287,0.256396332,0.077182986,,,,,,,,,
SDR42E1,9.625806452,11.5,1.194705094,0.256654542,0.077260715,,,,,,,,,
TRRAP,52.4137931,62.625,1.194819079,0.256792181,0.077302149,,,,,,,,,
TTC21B,30.54285714,36.5,1.195042095,0.257061439,0.077383204,,,,,,,,,
